DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 00:17:28 070,43,43,44,42,44,3.231,1.467,1593.603,1593.603,1593.603,1593.603
2020.12.01 00:17:29 079,42,42,43,42,44,2.991,1.238,796.801,796.801,796.801,796.801
2020.12.01 00:17:30 089,42,42,43,42,44,3.136,1.368,796.801,796.801,796.801,796.801
2020.12.01 00:17:31 098,42,43,43,42,44,3.159,1.393,796.801,796.801,796.801,796.801
2020.12.01 00:17:32 105,42,43,43,42,44,3.183,1.412,2689.205,2689.205,2689.205,2390.405
2020.12.01 00:17:33 113,42,43,43,42,44,3.048,1.284,796.801,796.801,796.801,796.801
2020.12.01 00:17:34 122,42,43,43,42,44,3.224,1.462,796.802,796.802,796.802,796.802
2020.12.01 00:17:35 129,42,43,43,41,44,2.706,0.946,2689.205,2390.404,2390.404,2390.404
2020.12.01 00:17:36 137,42,43,43,42,44,3.196,1.43,796.801,796.801,796.801,796.801
2020.12.01 00:17:37 145,42,43,43,43,44,3.085,1.309,796.801,796.801,796.801,796.801
2020.12.01 00:17:38 153,42,43,43,42,44,3.207,1.429,2390.404,2091.604,2091.604,2091.604
2020.12.01 00:17:39 161,43,43,42,42,44,2.97,1.195,1195.202,1195.202,1593.602,1593.602
2020.12.01 00:17:40 171,42,43,43,42,44,3.45,1.677,796.801,796.801,796.801,796.801
2020.12.01 00:17:41 180,42,43,43,42,44,2.792,1.038,796.801,796.801,796.801,796.801
2020.12.01 00:17:42 189,42,43,43,42,44,3.257,1.494,1195.202,896.402,896.402,796.801
2020.12.01 00:17:43 198,47,44,46,43,47,3.193,1.436,2689.205,2788.805,2689.205,2689.205
2020.12.01 00:17:44 206,42,42,44,42,44,3.023,1.27,796.801,796.801,796.801,796.801
2020.12.01 00:17:45 214,42,42,43,42,43,3.07,1.314,796.801,796.801,796.801,796.801
2020.12.01 00:17:46 222,43,43,44,42,44,3.232,1.472,2689.205,2390.404,2390.404,2390.404
2020.12.01 00:17:47 229,42,43,44,42,44,2.82,1.071,2689.204,2689.204,2689.204,2589.604
2020.12.01 00:17:48 238,42,43,43,42,44,3.086,1.315,796.801,796.801,796.801,796.801
2020.12.01 00:17:49 247,42,43,44,42,44,3.63,1.866,2689.205,2390.404,2390.404,2390.404
2020.12.01 00:17:50 255,42,43,45,42,45,2.934,1.194,2490.004,2589.604,2589.604,2589.604
2020.12.01 00:17:51 263,42,43,43,42,44,2.944,1.171,796.801,796.801,796.801,796.801
2020.12.01 00:17:52 271,42,43,43,43,44,3.114,1.353,1792.803,1792.803,1494.003,1494.003
2020.12.01 00:17:53 280,42,44,44,42,44,3.154,1.399,2689.204,2589.604,2689.204,2490.004
2020.12.01 00:17:54 288,42,42,43,42,44,2.926,1.146,796.801,796.801,796.801,796.801
2020.12.01 00:17:55 296,42,43,44,42,44,3.27,1.497,1494.003,1494.003,1195.202,1195.202
2020.12.01 00:17:56 303,42,44,44,42,44,3.096,1.326,796.801,796.801,796.801,796.801
2020.12.01 00:17:57 316,42,42,43,42,44,2.739,0.966,796.801,796.801,796.801,796.801
2020.12.01 00:17:58 323,42,42,43,42,44,3.153,1.38,796.801,796.801,796.801,796.801
2020.12.01 00:17:59 332,42,43,43,42,43,3.177,1.395,2589.604,2589.604,2290.804,2290.804
2020.12.01 00:18:00 340,42,46,44,42,46,2.935,1.179,2490.004,2589.604,2490.004,2589.604
2020.12.01 00:18:01 348,42,43,43,42,44,3.151,1.358,796.801,796.801,796.801,796.801
2020.12.01 00:18:02 356,42,43,43,42,44,3.297,1.525,1494.003,1494.003,1195.202,1195.202
2020.12.01 00:18:03 364,42,43,44,42,44,3.51,1.743,1992.003,1992.003,1992.003,1992.003
2020.12.01 00:18:04 371,44,43,44,42,44,2.885,1.123,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:18:05 378,42,43,43,42,44,3.015,1.251,796.801,796.801,796.801,796.801
2020.12.01 00:18:06 384,42,43,44,42,44,3.145,1.372,796.801,796.801,796.801,796.801
2020.12.01 00:18:07 393,42,43,43,42,44,2.831,1.069,1095.602,796.801,796.801,796.801
2020.12.01 00:18:08 401,42,44,43,42,44,3.092,1.332,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:18:09 408,42,43,44,42,44,3.322,1.565,796.801,796.801,796.801,796.801
2020.12.01 00:18:10 415,42,43,43,42,44,2.822,1.072,796.801,796.801,796.801,796.801
2020.12.01 00:18:11 424,43,43,44,42,44,3.101,1.335,2589.605,2490.004,2589.605,2589.605
2020.12.01 00:18:12 432,42,43,44,42,44,3.096,1.343,796.801,796.801,796.801,796.801
2020.12.01 00:18:13 440,42,43,44,42,44,2.945,1.198,996.002,996.002,996.002,796.801
2020.12.01 00:18:14 447,42,43,44,42,44,3.135,1.374,2191.204,1892.403,1892.403,1892.403
2020.12.01 00:18:15 456,42,43,44,42,44,3.2,1.433,2091.604,2091.604,1792.803,1792.803
2020.12.01 00:18:16 464,42,43,43,42,44,2.971,1.227,796.801,796.801,796.801,796.801
2020.12.01 00:18:17 473,42,43,43,42,44,2.807,1.055,796.801,796.801,796.801,796.801
2020.12.01 00:18:18 481,42,43,43,42,44,3.101,1.348,796.801,796.801,796.801,796.801
2020.12.01 00:18:19 488,42,43,43,42,44,3.012,1.252,1195.202,896.402,896.402,896.402
2020.12.01 00:18:20 496,42,43,44,43,44,3.284,1.528,2390.404,2390.404,2091.604,2091.604
2020.12.01 00:18:21 503,43,43,43,42,44,3.128,1.357,1593.602,1992.003,1992.003,1992.003
2020.12.01 00:18:22 509,42,43,44,42,44,3.228,1.444,796.801,796.801,796.801,796.801
2020.12.01 00:18:23 518,42,42,43,42,44,2.882,1.112,796.801,796.801,796.801,796.801
2020.12.01 00:18:24 525,42,43,44,42,44,3.068,1.301,996.002,996.002,996.002,796.801
2020.12.01 00:18:25 533,43,43,44,42,45,3.378,1.606,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:18:26 540,42,42,43,42,44,3.022,1.259,796.801,796.801,796.801,796.801
2020.12.01 00:18:27 552,42,43,43,42,44,3.128,1.366,796.801,796.801,796.801,796.801
2020.12.01 00:18:28 561,42,43,43,42,44,3.19,1.423,796.801,796.801,796.801,796.801
2020.12.01 00:18:29 569,42,43,44,42,45,3.218,1.454,2788.805,2490.004,2490.004,2191.204
2020.12.01 00:18:30 577,42,43,43,42,44,2.795,1.039,2689.205,2390.404,2390.404,2390.404
2020.12.01 00:18:31 585,42,43,43,42,44,3.101,1.332,796.801,796.801,796.801,796.801
2020.12.01 00:18:32 593,42,43,43,42,44,3.231,1.47,796.801,796.801,796.801,796.801
2020.12.01 00:18:33 600,42,43,43,42,44,2.981,1.222,1195.202,1195.202,1195.202,896.402
2020.12.01 00:18:34 607,42,43,43,42,44,3.164,1.389,2689.205,2689.205,2390.404,2390.404
2020.12.01 00:18:35 614,42,43,44,42,44,2.951,1.197,1195.202,1195.202,1195.202,1195.202
2020.12.01 00:18:36 623,42,42,43,42,44,2.861,1.096,796.801,796.801,796.801,796.801
2020.12.01 00:18:37 630,45,45,46,42,46,3.513,1.735,2689.205,2689.205,2689.205,2689.205
2020.12.01 00:18:38 638,42,43,43,42,44,3.077,1.313,796.801,796.801,796.801,796.801
2020.12.01 00:18:39 647,42,43,46,42,46,2.929,1.165,2589.605,2689.205,2689.205,2689.205
2020.12.01 00:18:40 656,42,42,43,42,44,3.187,1.401,796.801,796.801,796.801,796.801
2020.12.01 00:18:41 664,43,45,46,42,46,3.31,1.535,2589.605,2589.605,2589.605,2589.605
2020.12.01 00:18:42 672,42,43,44,42,44,2.63,0.873,796.801,796.801,796.801,796.801
2020.12.01 00:18:43 681,42,43,44,42,44,3.403,1.632,796.801,796.801,796.801,796.801
2020.12.01 00:18:44 689,43,43,44,42,44,3.167,1.396,796.801,796.801,796.801,796.801
2020.12.01 00:18:45 698,42,42,44,42,44,2.867,1.095,796.801,796.801,2689.205,2589.604
2020.12.01 00:18:46 707,42,42,43,42,44,3.147,1.35,796.801,796.801,796.801,796.801
